Manufacturer,Model,Category,Subcategory,URL,Part Number,System,Accounting Item Name,Short Description,Long Description,Discontinued,Tags,Phase,Labor Hours,MSRP,Unit Cost,Unit Price,Taxable,Use Tax,Preferred Vendor,Order UOM,Order UOM Units,Do Not Order,Height,Width,Depth,Weight,Rack Mounted,Rack Units,Amps,Volts,Watts,BTU,Dispersion,Bulk Wire,Start Terminal,End Terminal,Input Terminals,Input Signals,Input Labels,Output Terminals,Output Signals,Output Labels,Custom Field 1 (Income Account),Custom Field 2 (Expense Account),Custom Field 3 (Spec Sheet - Type),Custom Field 4 (Spec Sheet - Cut Out Dimensions),Custom Field 5 (Spec Sheet - Part ID),Custom Field 6,Custom Field 7,Custom Field 8,Custom Field 9,Custom Field 10,Custom Field 11,Custom Field 12 (Spec Sheet Options),Custom Field 13,Custom Field 14,Summarize,Show In Product Details Report,Approved
SNAP AV,SM-VP-10X12-BLK,Mounts,Accessory,https://www.snapav.com/shop/en/snapav/mounts/fixed/strong-trade%3B-versaplate---10x12-mounting-plate--sm-vp-10x12-blk,SM-VP-10X12-BLK,"TV, Sources & Mounts",SNAP AV:SM-VP-10X12-BLK,10'' x 12'' Mounting Plate,"Don’t get tangled up in velcro. The Strong VersaPlate is ideal for storing small pieces of gear behind a flat panel display. It’s a mounting plate that attaches to the rear of the display, and gives you a clean, hidden storage solution when you can’t use an in-wall box. The VersaPlate is compatible with all Strong mounts and is VESA-compatible up to 400 millimeters. Also includes mounting plate, mounting arm, hardware and leveling feet with double-sided tape.",FALSE,,Finish,0.25,57.95,28.32,57.95,TRUE,,SnapAV,,,FALSE,12,12,1.14,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,2,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CS-RACK-12U,Equipment Racks,Rack,https://savinc.sharepoint.com/:b:/g/EVyOmASlIRpNnI0ujEEAXMgBdQhK8X2xFBrm1CBK4lUKJQ?e=wH785S,SR-CS-RACK-12U,AV Control and Distribution,SNAP AV:SR-CS-RACK-12U,Contractor Series 12 RU Rack,"Locking side panels provide added security and also dress up the rack by hiding its contents, while powder-coated steel provides a durable fit and finish. Vents placed in the panel bottom even allow for more efficient chimney-style exhaust ventilation.",FALSE,,Finish,4,265,129.08,265,TRUE,,SnapAV,,,FALSE,27.8,20,18.2,25,FALSE,12,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CS-RACK-16U,Equipment Racks,Rack,https://www.snapav.com/shop/en/snapav/racks-contractor-series/strong-trade%3B-contractor-series-rack---18-depth-21u-sr-cs-rack-21u,SR-CS-RACK-16U,AV Control and Distribution,SNAP AV:SR-CS-RACK-16U,Contractor Series 16 RU Rack,"Locking side panels provide added security and also dress up the rack by hiding its contents, while powder-coated steel provides a durable fit and finish. Vents placed in the panel bottom even allow for more efficient chimney-style exhaust ventilation.",FALSE,,Finish,4,313,152.56,313,TRUE,,SnapAV,,,FALSE,34.8,20,18.2,0,FALSE,16,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CS-RACK-21U,Equipment Racks,Rack,https://www.snapav.com/shop/en/snapav/racks-contractor-series/strong-trade%3B-contractor-series-rack---18-depth-21u-sr-cs-rack-21u,SR-CS-RACK-21U,AV Control and Distribution,SNAP AV:SR-CS-RACK-21U,Contractor Series 21 RU Rack,"Locking side panels provide added security and also dress up the rack by hiding its contents, while powder-coated steel provides a durable fit and finish. Vents placed in the panel bottom even allow for more efficient chimney-style exhaust ventilation.",FALSE,,Finish,4,359.94,176.04,359.94,TRUE,,SnapAV,,,FALSE,43.5,20,18.2,0,FALSE,21,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CUST-DOOR-27U-GLS,Equipment Racks,Door,,SR-CUST-DOOR-27U-GLS,AV Control and Distribution,SNAP AV:SR-CUST-DOOR-27U-GLS,"Glass Front Door, 27 RU","No A/V enthusiast can resist the allure of a rack loaded with products and blinking lights – and neither can curious fingers. Satisfying this appetite for bling while keeping any system secured, this lockable door features steel construction and an elegant tinted glass panel. Plus, now side panels aren’t even needed for door installations!",FALSE,,Finish,0.25,546.48,201.47,546.48,TRUE,,SnapAV,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CUST-DOOR-37U-GLS,Equipment Racks,Door,https://www.snapav.com/shop/en/snapav/strong-trade%3B-custom-series-rack-door---glass%7C37u-sr-cust-door-37u-gls,SR-CUST-DOOR-37U-GLS,AV Control and Distribution,SNAP AV:SR-CUST-DOOR-37U-GLS,"Glass Front Door, 37 RU","No A/V enthusiast can resist the allure of a rack loaded with products and blinking lights – and neither can curious fingers. Satisfying this appetite for bling while keeping any system secured, this lockable door features steel construction and an elegant tinted glass panel. Plus, now side panels aren’t even needed for door installations!",FALSE,,Finish,0.25,663.4,247.46,663.4,TRUE,,SnapAV,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CUSTOM-27U-20IN,Equipment Racks,Rack,,SR-CUSTOM-27U-20IN,AV Control and Distribution,SNAP AV:SR-CUSTOM-27U-20IN,"Custom Series Rack, 27 RU, 20''D","Redesigned based on dealer feedback! There's a reason our floor standing racks are the go-to for so many installers. With innovative installation features, flexible configuration options, and a polished jet-black finish, this durable Custom Series rack is ready to dress up any project.",FALSE,,Finish,4,618.95,209.3,618.95,TRUE,,SnapAV,,,FALSE,,,,,FALSE,,,,,,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,,,,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CUSTOM-37U-20IN,Equipment Racks,Rack,https://www.snapav.com/shop/en/snapav/strong-trade%3B-custom-series-floor-standing-rack---20-depth%7C21u-sr-custom-21u-20in,SR-CUSTOM-37U-20IN,AV Control and Distribution,SNAP AV:SR-CUSTOM-37U-20IN,"Custom Series Rack, 37 RU, 20''D","Redesigned based on dealer feedback Theres a reason our floor standing racks are the go-to for so many installers. With innovative installation features, flexible configuration options, and a polished jet-black finish, this durable Custom Series rack is ready to dress up any project.",FALSE,,Finish,8,728.95,231.8,728.95,TRUE,,SnapAV,,,FALSE,68.25,19.77,20,0,FALSE,37,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CUSTOM-37U-24IN,Equipment Racks,Rack,https://www.snapav.com/shop/en/snapav/strong-trade%3B-custom-series-floor-standing-rack---20-depth%7C21u-sr-custom-21u-20in,SR-CUSTOM-37U-24IN,AV Control and Distribution,SNAP AV:SR-CUSTOM-37U-24IN,"Custom Series Rack, 37 RU, 24''D","Redesigned based on dealer feedback There's a reason our floor standing racks are the go-to for so many installers. With innovative installation features, flexible configuration options, and a polished jet-black finish, this durable Custom Series rack is ready to dress up any project.",FALSE,,Finish,8,784.95,253.32,784.95,TRUE,,SnapAV,,,FALSE,68.25,19.77,24.16,0,FALSE,37,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CUST-SP-27U-20IN,Equipment Racks,Side Panel,https://www.snapav.com/shop/en/snapav/strong-trade%3B-custom-series-rack-side-panels-sr-cust-sp,SR-CUST-SP-27U-20IN,AV Control and Distribution,SNAP AV:SR-CUST-SP-27U-20IN,"Side Panels, 27 RU, 20''D for Custom Series Racks","Locking side panels provide added security and also dress up the rack by hiding its contents, while powder-coated steel provides a durable fit and finish. Vents placed in the panel bottom even allow for more efficient chimney-style exhaust ventilation.",FALSE,,Finish,0.25,333.51,118.32,333.51,TRUE,,SnapAV,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-CUST-SP-37U-24IN,Equipment Racks,Side Panel,,SR-CUST-SP-37U-24IN,AV Control and Distribution,SNAP AV:SR-CUST-SP-37U-24IN,"Side Panels, 37 RU, 24''D for Custom Series Racks","Locking side panels provide added security and also dress up the rack by hiding its contents, while powder-coated steel provides a durable fit and finish. Vents placed in the panel bottom even allow for more efficient chimney-style exhaust ventilation.",FALSE,,Finish,0.25,549.12,190.71,549.12,TRUE,,SnapAV,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-FANBRACKET-4,Equipment Racks,Fans & Cooling,https://savinc.sharepoint.com/:b:/g/EbFTupU_sTVDpYmGExCUwIgB1NuQvACJnQxcHSJoN-xvjg?e=vEfJsX,SR-FANBRACKET-4,AV Control and Distribution,SNAP AV:SR-FANBRACKET-4,Fan Kit for Signature and Custom Series Racks,"This Strong fan rack bracket attaches directly to the top of our Signature Series (SR-FANBRACKET-4) and Custom Series (SR-FANBRACKET-2 and -4) racks. Each bracket comes with preinstalled Cool Components™ 120mm DC powered fans, making it a breeze to install your cooling system. Plus, these DC fans provide flexible control options so you can control the fan speed and how cool your rack gets.",FALSE,,Finish,0.25,363.95,190.71,363.95,TRUE,,SnapAV,,,FALSE,1.25,17.25,13,5,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-FS-SYSTEM-DC-42U,Equipment Racks,Racks,https://www.snapav.com/wcsstore/ExtendedSitesCatalogAssetStore/attachments/documents/Racks/Cutsheets/SR-FS-SYSTEM-15U_CS.pdf,SR-FS-SYSTEM-DC-42U,AV Control and Distribution,SNAP AV:SR-FS-SYSTEM-DC-42U,FS Series 42U Rack System with DC Fans,"This Strong FS Series Rack System ships fully assembled with many of the most popular accessories preinstalled – including DC fans, vents, shelves, and side panels – so setup is fast and easy on the day of the job. Plus, it's narrow enough to fit in tight spaces. Using an active DC cooling system that features vents in the bottom and high-flow DC fans in the top, this rack keeps your equipment cool and reliable. Our nearly-noiseless DC fans are much quieter than other brands! To top it all off, this rack was created to look beautiful in any space, boasting a smoked glass door and top-to-bottom powder coat finish.",FALSE,,Finish,4,1546.53,809.96,1546.53,TRUE,,SnapAV,,,FALSE,76.8,21.1,23.1,192,FALSE,42,0,0,0,0,,FALSE,,,,,,,,,,,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-SHELF-2U,Equipment Racks,Shelf,https://www.snapav.com/wcsstore/ExtendedSitesCatalogAssetStore/attachments/documents/Racks/ManualsAndGuides/SR-SHELF-2U_drawing.pdf,SR-SHELF-2U,AV Control and Distribution,SNAP AV:SR-SHELF-2U,"Rackshelf, 2 RU, 14.76''D","All of the support, ventilation, and durability you need in a shelf with an added burst of speed! These 16-gauge steel shelves feature our compact FoldFlat design that installs in an instant and is easy to store and transport to the job site. And install couldn't be easier - just flip up the hinged side flaps and mount them into the rack. Simple! Plus the flat-pack design saves on shipping costs and is easier to store in your van or warehouse.",FALSE,,Finish,0.25,72.55,27.34,72.55,TRUE,,SnapAV,,,FALSE,3.5,19,14.76,7.2,TRUE,2,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,2,Rack Mounted,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-SHELF-FIXED-3U,Equipment Racks,Shelf,,SR-SHELF-FIXED-3U,AV Control and Distribution,SNAPAV:SR-SHELF-FIXED-3U,"Rackshelf, 3 RU, 14.76''D","Simply sensational, these strong fixed shelves are built for strength, simplicity and superb air-flow. They're preassembled for quick installation and include a locking top clamp and rear brackets to make sure your equipment stays put! Simply place these shelves in the rack and screw them in! We even included top, rear, and support brackets to keep equipment in place.",FALSE,,Finish,0.25,99.71,41.04,99.71,TRUE,,SnapAV,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-WMS-10U,Equipment Racks,Wall Rack,https://savinc.sharepoint.com/:b:/g/EUh34o5oJmxGmWjxNZjZBKIB-5pwzS70uO0r__J0LTwjsQ?e=f8MB87,SR-WMS-10U,AV Control and Distribution,SNAP AV:SR-WMS-10U,"Wall Mount Rack System, 10 RU, 22.91''D","For installs needing equipment locked up and off the floor, this welded Strong® Rack System arrives fully assembled with a swing kit, vented top and base, a tempered, reversible door, and removable side panels. Hardened steel hinge pins provide reliable swing and sag resistance, while locking latches on the front door, side panels, and swing kit keep the equipment secure. A welded design provides rugged reliability, and to top it all off, convenient knockout panels with screw-on panels and marked rails offer simpler wire management.",FALSE,,Finish,4,819.87,301.26,819.87,TRUE,,SnapAV,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-WMS-12U,Equipment Racks,Wall Rack,https://savinc.sharepoint.com/:b:/g/EUh34o5oJmxGmWjxNZjZBKIB-5pwzS70uO0r__J0LTwjsQ?e=f8MB87,SR-WMS-12U,AV Control and Distribution,SNAP AV:SR-WMS-12U,"Wall Mount Rack System, 12 RU, 22.91''D","For installs needing equipment locked up and off the floor, this welded Strong® Rack System arrives fully assembled with a swing kit, vented top and base, a tempered, reversible door, and removable side panels. Hardened steel hinge pins provide reliable swing and sag resistance, while locking latches on the front door, side panels, and swing kit keep the equipment secure. A welded design provides rugged reliability, and to top it all off, convenient knockout panels with screw-on panels and marked rails offer simpler wire management.",FALSE,,Finish,4,937.4,328.64,937.4,TRUE,,SnapAV,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-WMS-16U,Equipment Racks,Wall Rack,https://savinc.sharepoint.com/:b:/g/EUh34o5oJmxGmWjxNZjZBKIB-5pwzS70uO0r__J0LTwjsQ?e=f8MB87,SR-WMS-16U,AV Control and Distribution,SNAP AV:SR-WMS-16U,"Wall Mount Rack System, 16 RU, 22.91''D","For installs needing equipment locked up and off the floor, this welded Strong® Rack System arrives fully assembled with a swing kit, vented top and base, a tempered, reversible door, and removable side panels. Hardened steel hinge pins provide reliable swing and sag resistance, while locking latches on the front door, side panels, and swing kit keep the equipment secure. A welded design provides rugged reliability, and to top it all off, convenient knockout panels with screw-on panels and marked rails offer simpler wire management.",FALSE,,Finish,4,1050.92,383.43,1050.92,TRUE,,SnapAV,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-WMS-24U,Equipment Racks,Wall Rack,https://savinc.sharepoint.com/:b:/g/EUh34o5oJmxGmWjxNZjZBKIB-5pwzS70uO0r__J0LTwjsQ?e=f8MB87,SR-WMS-24U,AV Control and Distribution,SNAP AV:SR-WMS-24U,"Wall Mount Rack System, 24 RU, 22.91''D","For installs needing equipment locked up and off the floor, this welded Strong Rack System arrives fully assembled with a swing kit, vented top and base, a tempered, reversible door, and removable side panels. Hardened steel hinge pins provide reliable swing and sag resistance, while locking latches on the front door, side panels, and swing kit keep the equipment secure. A welded design provides rugged reliability, and to top it all off, convenient knockout panels with screw-on panels and marked rails offer simpler wire management.",FALSE,,Finish,4,1524.19,602.56,1524.19,TRUE,,SnapAV,,,FALSE,45.79,21.75,22.91,0,FALSE,24,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,SR-WMS-6U,Equipment Racks,Wall Rack,https://savinc.sharepoint.com/:b:/g/EUh34o5oJmxGmWjxNZjZBKIB-5pwzS70uO0r__J0LTwjsQ?e=f8MB87,SR-WMS-6U,AV Control and Distribution,SNAP AV:SR-WMS-6U,"Wall Mount Rack System, 6 RU, 22.91''D","For installs needing equipment locked up and off the floor, this welded Strong® Rack System arrives fully assembled with a swing kit, vented top and base, a tempered, reversible door, and removable side panels. Hardened steel hinge pins provide reliable swing and sag resistance, while locking latches on the front door, side panels, and swing kit keep the equipment secure. A welded design provides rugged reliability, and to top it all off, convenient knockout panels with screw-on panels and marked rails offer simpler wire management.",FALSE,,Finish,4,447.95,219.08,447.95,TRUE,,SnapAV,,,FALSE,14.29,21.75,22.91,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVCHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,WB-100-PS-6,Power and Protection,Power Strip,http://www.snapav.com/p-1553-WB-100-PS-6.aspx,WB-100-PS-6,AV Control and Distribution,SNAP AV:WB-100-PS-6,"Power Strip, 6 Outlet, 15A","Need more outlets in a rack, cabinet, or under a desk? Save yourself a trip to the hardware store by stocking your truck with WattBox power strips. Attach one to a wall, in the back of a cabinet, or zip tied to the inside of a rack rail to gain six additional outlets for powering equipment. A slim design ensures that these power strips fit in tight spaces, while four keyholes make mounting simple. And of course we include a mounting template to make sure you get it positioned perfectly, every time.",FALSE,,Finish,0.25,20.54,8.19,20.54,TRUE,,SnapAV,,,FALSE,1.25,1.75,9.75,0,FALSE,0,0,0,0,0,,FALSE,,,ACPLUG,120VAC,POWER,NEMA;NEMA;NEMA;NEMA;NEMA;NEMA,120VAC;120VAC;120VAC;120VAC;120VAC;120VAC,POWER 1;POWER 2;POWER 3;POWER 4;POWER 5;POWER 6,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,WB-100-VPS-6,Power and Protection,Power Strip,http://www.snapav.com/p-1553-WB-100-PS-6.aspx,WB-100-PS-6,AV Control and Distribution,SNAP AV:WB-100-VPS-6,"Vertical Power Strip, 6 Outlet, 15A","Do you find yourself constantly running out of outlets in the rack? With these WattBox® 100 Series Vertical Rack Mount Power Strip with Aluminum Housing, you can easily add more outlets, and with features like rotated outlets and quick-clip mounting brackets, they’re ideal for managing power cords and wall warts in a rack, cabinet, or work area. Simply install the supplied mounting brackets to the rack and snap the power strips in place. Best of all, since they mount to the rack rails, you don’t lose any of your precious rack space! Give your next project clean and professional power management with these problem-solving solutions.",FALSE,,Finish,0.25,116.36,49.84,116.36,TRUE,,SnapAV,,,FALSE,1.25,1.75,9.75,0,FALSE,0,0,0,0,0,,FALSE,,,ACPLUG,120VAC,POWER,NEMA;NEMA;NEMA;NEMA;NEMA;NEMA,120VAC;120VAC;120VAC;120VAC;120VAC;120VAC,POWER 1;POWER 2;POWER 3;POWER 4;POWER 5;POWER 6,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,WB-11-LIGHT,Power and Protection,Power Strip,,WB-11-LIGHT,AV Control and Distribution,SNAP AV:WB-11-LIGHT,"Rackmount Lighted Power, 11 Outlet, 15A","This lighted surge protector is the perfect surge protection unit for rack installations that need clean, safe power. Its compact 1U chassis is packed with 11 surge-protected outlets, noise filtration to improve audio/video performance - even dual LED lights that cast a soft glow so you can see the equipment.",FALSE,,Finish,0.25,190.15,99.73,190.15,TRUE,,SnapAV,,,FALSE,1.75,17.3,7.9,6.6,TRUE,0,0,0,0,0,,FALSE,,,ACPLUG,120VAC,POWER,RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE,120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC,OUTLET 1;OUTLET 2;OUTLET 3;OUTLET 4;OUTLET 5;OUTLET 6;OUTLET 7;OUTLET 8;OUTLET 9;OUTLET 10;OUTLET 11,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,PWR,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,WB-200-2,Power and Protection,Conditioner,https://www.snapav.com/shop/en/snapav/surge-conditioning/wattbox-trade%3B-200-series-compact-power-conditioner---2-outlets-wb-200-2,WB-200-2,AV Control and Distribution,SNAP AV:WB-200-2,"Power Conditioner, 2 Outlet, 15A","Whether it's a structured wiring can, flat panel TV or cabinet - the WB-200-A power conditioner provides premium surge protection and noise filtration to two outlets. And don't let its size fool you. It's outside is just as rugged as the protection it offers, with an 18 guage steel chassis and built-in wings for mounting.",FALSE,,Finish,0.25,79.17,32.24,79.17,TRUE,,SnapAV,,,FALSE,1.25,1.75,9.75,0,FALSE,0,0,0,0,0,,FALSE,,,ACPLUG,120VAC,POWER,NEMA;NEMA;NEMA;NEMA;NEMA;NEMA,120VAC;120VAC;120VAC;120VAC;120VAC;120VAC,POWER 1;POWER 2;POWER 3;POWER 4;POWER 5;POWER 6,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,WB-200-8PS,Power and Protection,Power Strip,http://www.snapav.com/p-1135-wb-200-8ps.aspx,WB-200-8PS,AV Control and Distribution,SNAP AV:WB-200-8PS,"Power Strip, 8 Outlet, 15A","Don't be fooled by its compact form factor. With a 2100 Joule rating and 8 outlets, the WB-200-8PS offers serious surge protection and noise filtration for smaller systems. Install it on the wall, in a cabinet, or simply place it on the floor behind a credenza – it’s the perfect bedroom and family room solution.",FALSE,,Finish,0.25,77.96,25.39,77.96,TRUE,,SnapAV,,,FALSE,1.73,3.74,4.84,0,FALSE,0,0,0,0,0,,FALSE,,,ACPLUG,120VAC,POWER,NEMA;NEMA;NEMA;NEMA;NEMA;NEMA;NEMA;NEMA;RJ45;RJ45;FCONNECTOR;FCONNECTOR,120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;ETHERNET;ETHERNET;RF VIDEO;RF VIDEO,POWER 1;POWER 2;POWER 3;POWER 4;POWER 5;POWER 6;POWER 7;POWER 8;IN;OUT;IN;OUT,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,WB-200VB-CE-6,Power and Protection,Conditioner,https://www.snapav.com/wcsstore/ExtendedSitesCatalogAssetStore/attachments/documents/PowerManagement/ManualsAndGuides/WB-200VB-CE-6_ProductManual.pdf,WB-200VB-CE-6,AV Control and Distribution,SNAP AV:WB-200VB-CE-6,"Power Conditioner, 6 Outlet, 15A","Specially designed to pair with our Strong VersaBox Pro or VersaMount, the WattBox 200 Series Compact Power Conditioner with Coax and Ethernet “drops in” to any of these boxes, utilizing the in-wall space beneath the box to save precious real estate inside the box for other equipment. But whether you place it in a structured wiring can, under a table, in a podium, or on the wall - this compact power conditioner provides premium surge protection and noise filtration to six outlets, as well as coax and Telephone/Ethernet protection. And don't let its size fool you. It's outside is just as rugged as the protection it offers, with an 18 gauge steel chassis.",FALSE,,Finish,0.5,160.55,65.49,160.55,TRUE,,SnapAV,,,FALSE,2.7,7.9,6.3,0,FALSE,0,0,0,0,0,,FALSE,,,IEC C13,120VAC,POWER,RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE,120VAC;120VAC;120VAC;120VAC;120VAC;120VAC,OUTLET 1;OUTLET 2;OUTLET 3;OUTLET 4;OUTLET 5;OUTLET 6,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,2,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,WB-250-IPW-2,Power and Protection,IP Controlled,https://www.snapav.com/wcsstore/ExtendedSitesCatalogAssetStore/attachments/documents/PowerManagement/Cutsheets/Wattbox_family_Cutsheet_08-26-19.pdf,WB-250-IPW-2,AV Control and Distribution,SNAP AV:WB-250-IPW-2,"IP Controlled Power Conditioner, 2 Outlet, 12A","The WattBox 250 IPW series is a compact Wi-Fi WattBox with individually controlled outlets, professional-grade surge protection, and the option for wired connectivity. The WattBox 250 is the only 2-outlet individually controlled surge protector that supports OvrC, the industry’s #1 remote management platform. With its affordable price point and the truck-roll eliminating power of OvrC, putting this WattBox on every job will save you time and money. Thanks to its small size and wireless capability, you can power and control everything from digital signage or a smart TV to video conferencing equipment or an entire A/V rack.",FALSE,,Finish,0.5,199.95,107.96,199.95,TRUE,,SnapAV,,,FALSE,1.42,3.09,4.33,0.7,FALSE,0,0.04,120,5,16.38,,FALSE,,,RJ45;;C13,DATA;;120VAC,NETWORK;;POWER,RECEPTACLE;RECEPTACLE,120VAC;120VAC,CONTROLLED 1;CONTROLLED 2,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
SNAP AV,WB-300-IP-3,Power and Protection,IP Controlled,https://www.snapav.com/shop/en/snapav/wattbox-ip-5-controlled-outlet-compact-power-conditioner-with-auto-reboot-wb-300vb-ip-5,WB-300-IP-3,AV Control and Distribution,SNAP AV:WB-300-IP-3,"IP Controlled Power Conditioner, 3 Outlet, 12A","If you’re tired of rolling a truck every time you need to reset a cable box, modem, router or other network device, the WattBox® IP+ Controllable 3-Outlet (3 Controlled) Compact Power Conditioner with Auto Reboot is the solution. The successor to our WB-200-IPCE-3 model now offering full control of all 3 outlets, it provides premium surge protection and noise filtration, and is smart enough to automatically reboot the device when network connectivity is lost. Add remote access, scheduling and email – and you can say goodbye to unnecessary service calls. Plus with OvrC enablement, you get remote access, remote firmware updates, real-time monitoring, and customer management all from your phone, computer, or tablet.",FALSE,,Finish,0.5,313.96,153.54,313.96,TRUE,,SnapAV,,,FALSE,1.75,6.5,7.625,0,FALSE,0,0.04,120,5,16.38,,FALSE,,,RJ45;IEC,DATA;120VAC,NETWORK;POWER,PLUG;PLUG;PLUG,120VAC;120VAC;120VAC,POWER 1;POWER 2;POWER 3,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
